name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,is_Bug,version
com.ichi2.anki.web.CustomSyncServer,6,0,0,8,12,15,3,5,6,1.2000,39,0.0000,0,0.0000,0.2917,0,0,5.0000,0,2.15
com.ichi2.libanki.Exporter,6,0,3,9,22,9,4,5,3,0.8000,129,1.0000,1,0.0000,0.5000,0,0,19.8333,0,2.15
com.ichi2.anki.multimediacard.fields.IFieldController,11,0,0,14,11,55,8,7,11,2.0000,11,0.0000,0,0.0000,0.2020,0,0,0.0000,0,2.15
com.ichi2.utils.DiffEngine,6,0,0,6,18,13,1,5,4,0.8000,159,1.0000,0,0.0000,0.5833,0,0,25.3333,0,2.15
com.ichi2.libanki.AnkiExporter,6,0,1,24,86,7,1,23,3,0.8000,737,0.5000,1,0.0000,0.3810,0,0,120.8333,0,2.15
com.ichi2.widget.AnkiDroidWidgetSmall,12,0,0,17,40,62,0,17,5,0.9091,276,1.0000,0,0.0000,0.2020,0,0,21.8333,0,2.15
com.ichi2.anki.MyAccount,30,0,0,52,101,407,6,52,10,0.8649,671,0.8333,1,0.0000,0.1611,0,0,20.9667,0,2.15
com.ichi2.anki.reviewer.PeripheralKeymap,4,0,0,7,15,0,1,6,4,0.4167,83,1.0000,1,0.0000,0.5000,0,0,18.7500,0,2.15
com.ichi2.libanki.importer.AnkiPackageImporter,3,0,0,15,64,1,0,15,2,0.5000,590,1.0000,0,0.0000,0.6667,0,0,195.0000,0,2.15
com.ichi2.libanki.TextCardExporter,5,0,0,3,24,10,0,3,4,1.2500,117,0.0000,0,0.0000,0.4800,0,0,22.2000,0,2.15
com.ichi2.preferences.IncrementerNumberRangePreference,11,0,0,16,38,15,2,16,5,0.4000,267,1.0000,0,0.0000,0.3485,0,0,22.8182,0,2.15
com.ichi2.ui.CardBrowserSearchView,7,0,0,4,13,0,1,3,7,0.0000,74,1.0000,0,0.0000,0.3571,0,0,9.4286,0,2.15
com.ichi2.anki.api.BasicModel,2,0,0,1,3,1,1,0,0,1.0000,42,0.0000,0,0.0000,1.0000,0,0,18.0000,0,2.15
com.ichi2.anki.analytics.AnkiDroidCrashReportDialog,6,0,0,27,51,7,0,27,3,0.7500,193,1.0000,0,0.0000,0.5000,0,0,30.5000,0,2.15
com.ichi2.anki.exception.UserSubmittedException,1,0,0,0,2,0,0,0,1,2.0000,5,0.0000,0,0.0000,1.0000,0,0,4.0000,0,2.15
com.ichi2.anki.dialogs.DeckPickerAnalyticsOptInDialog,8,0,0,22,30,28,3,22,6,2.0000,88,0.0000,0,0.0000,0.3750,0,0,10.0000,0,2.15
com.ichi2.widget.WidgetStatus,6,0,0,18,17,13,9,9,3,0.9000,86,1.0000,0,0.0000,0.4000,0,0,13.0000,0,2.15
com.ichi2.libanki.template.Conditional,5,0,0,2,16,0,1,2,5,0.0000,107,1.0000,1,0.0000,0.3429,0,0,20.0000,0,2.15
com.ichi2.utils.NoteFieldDecorator,5,0,0,1,15,6,1,0,2,0.6667,297,1.0000,0,0.0000,0.3333,0,0,57.8000,0,2.15
com.ichi2.libanki.template.NegatedConditional,5,0,0,2,16,0,1,2,5,0.0000,107,1.0000,1,0.0000,0.3429,0,0,20.0000,0,2.15
com.ichi2.utils.ClipboardUtil,7,0,0,7,17,19,2,5,6,0.6667,131,0.0000,0,0.0000,0.2500,0,0,17.5714,0,2.15
com.ichi2.libanki.utils.Time,12,0,1,32,34,66,30,2,12,2.0000,153,0.0000,0,0.0000,0.2500,0,0,11.7500,0,2.15
com.ichi2.ui.AppCompatPreferenceActivity,18,0,3,16,45,153,3,13,10,0.1176,131,1.0000,0,0.0000,0.1914,0,0,6.2222,0,2.15
com.ichi2.anki.multimediacard.fields.IField,17,0,0,18,17,136,16,2,17,2.0000,17,0.0000,0,0.0000,0.3059,0,0,0.0000,0,2.15
com.ichi2.anki.api.AddContentApi,35,0,0,24,103,401,0,24,25,0.8971,1027,0.7500,0,0.0000,0.1697,0,0,28.1143,0,2.15
com.ichi2.ui.TextInputEditField,5,0,0,8,10,8,1,7,5,0.7500,40,1.0000,0,0.0000,0.4333,0,0,6.8000,0,2.15
com.ichi2.anki.multimediacard.beolingus.parsing.BeolingusParser,4,0,0,2,15,2,1,1,3,0.6667,110,1.0000,0,0.0000,0.5000,0,0,26.0000,0,2.15
com.ichi2.utils.FunctionalInterfaces,1,0,0,0,2,0,0,0,1,2.0000,4,0.0000,0,0.0000,1.0000,0,0,3.0000,0,2.15
com.ichi2.libanki.utils.TimeUtils,2,0,0,3,6,1,2,1,2,2.0000,14,0.0000,0,0.0000,0.5000,0,0,6.0000,0,2.15
com.ichi2.utils.SyncStatus,13,0,0,13,28,56,5,8,9,0.8426,213,0.3333,7,0.0000,0.0972,0,0,14.6923,0,2.15
com.ichi2.async.TaskListener,5,0,1,15,6,10,15,0,5,2.0000,10,0.0000,0,0.0000,0.7000,0,0,1.0000,0,2.15
com.ichi2.anki.multimediacard.AudioRecorder,7,0,0,3,22,7,1,2,5,0.5000,115,1.0000,0,0.0000,0.4762,0,0,15.1429,0,2.15
com.ichi2.ui.BadgeDrawable,9,0,0,7,25,20,1,6,4,0.6786,217,0.7143,0,0.0000,0.3611,0,0,22.3333,0,2.15
com.ichi2.anki.multimediacard.language.LanguagesListerGlosbe,3,0,0,2,13,3,1,1,2,1.0000,150,1.0000,0,0.0000,0.5000,0,0,48.6667,0,2.15
com.ichi2.libanki.Collection,185,0,0,166,504,14724,123,81,144,0.9507,5751,0.9375,9,0.0000,0.0666,0,0,29.9135,0,2.15
com.ichi2.libanki.importer.python.CsvReader,7,0,0,7,14,21,2,6,7,0.7222,85,0.0000,2,0.0000,0.3714,0,0,10.7143,0,2.15
com.ichi2.preferences.a,2,0,0,3,4,0,1,3,2,0.0000,14,0.0000,1,0.0000,0.6667,0,0,5.5000,0,2.15
com.ichi2.utils.JSONArray,44,0,0,45,84,946,36,15,44,2.0000,632,0.0000,0,0.0000,0.1864,0,0,13.3636,0,2.15
com.ichi2.anki.dialogs.SyncErrorDialog,38,0,0,32,92,703,15,32,22,1.0270,642,0.0000,0,0.0000,0.4254,0,0,15.6316,0,2.15
com.ichi2.libanki.Model,11,0,0,41,32,55,34,7,11,2.0000,136,0.0000,0,0.0000,0.3182,0,0,11.3636,0,2.15
com.ichi2.preferences.b,2,0,0,3,4,0,1,3,2,0.0000,14,0.0000,1,0.0000,0.6667,0,0,5.5000,0,2.15
com.ichi2.libanki.importer.NoteImporter,22,0,1,26,113,171,1,25,7,0.8333,1235,1.0000,1,0.0000,0.1694,0,0,54.5000,0,2.15
com.ichi2.anki.servicelayer.NoteService,7,0,0,20,54,21,1,19,6,2.0000,313,0.0000,0,0.0000,0.2381,0,0,43.7143,0,2.15
com.ichi2.anki.FlashCardsContract,2,0,0,1,4,1,0,1,0,1.6667,12,0.0000,0,0.0000,1.0000,0,0,3.5000,0,2.15
com.ichi2.anki.dialogs.customstudy.CreateCustomStudySessionListener,5,0,0,4,9,10,1,3,5,2.0000,29,0.0000,0,0.0000,0.5500,0,0,4.8000,0,2.15
com.ichi2.anki.NavigationDrawerActivity,35,0,5,57,127,509,12,50,14,0.9457,842,0.7692,0,0.0000,0.1067,0,0,22.6857,0,2.15
com.ichi2.anki.stats.StatsMetaInfo,37,0,0,3,38,598,2,1,37,0.9599,208,0.0000,0,0.0000,0.2124,0,0,4.1351,0,2.15
com.ichi2.anki.DeckPicker,174,0,0,219,624,14727,41,210,90,0.9866,4815,0.8478,4,0.0000,0.0651,0,0,26.4080,0,2.15
com.ichi2.async.CancelListener,1,0,0,8,1,0,8,0,1,2.0000,1,0.0000,0,0.0000,1.0000,0,0,0.0000,0,2.15
com.ichi2.libanki.backend.exception.BackendNotSupportedException,2,0,0,7,4,1,7,0,2,2.0000,11,0.0000,0,0.0000,1.0000,0,0,4.5000,0,2.15
com.ichi2.anki.multimediacard.fields.ImageField,21,0,0,13,38,200,3,10,18,0.9375,168,0.7500,0,0.0000,0.2460,0,0,6.8095,0,2.15
com.ichi2.anki.noteeditor.Toolbar,35,0,0,47,124,539,8,46,20,0.7824,739,1.0000,0,0.0000,0.1878,0,0,19.9714,0,2.15
com.ichi2.anki.dialogs.customstudy.b,2,0,0,4,4,0,1,4,2,0.0000,23,0.0000,1,0.0000,0.5714,0,0,9.5000,0,2.15
com.ichi2.anki.dialogs.customstudy.c,2,0,0,4,4,0,1,4,2,0.0000,15,0.0000,1,0.0000,0.6250,0,0,6.0000,0,2.15
com.ichi2.anki.dialogs.customstudy.a,2,0,0,5,4,0,1,5,2,0.0000,39,0.0000,1,0.0000,0.5625,0,0,16.0000,0,2.15
