name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,is_Bug,version
com.ichi2.preferences.CustomDialogPreference,2,0,0,11,16,0,0,11,2,0.0000,96,1.0000,0,0.0000,0.6000,0,0,46.5000,0,2.8
com.ichi2.libanki.Exporter,2,0,1,2,3,0,1,1,2,0.0000,22,0.0000,1,0.0000,0.8333,0,0,9.0000,0,2.8
com.ichi2.anki.multimediacard.fields.FieldControllerBase,5,0,3,7,6,10,3,4,5,1.0000,28,1.0000,3,0.0000,0.3600,0,0,3.8000,0,2.8
com.ichi2.anki.multimediacard.fields.IFieldController,9,0,0,12,9,36,7,6,9,2.0000,9,0.0000,0,0.0000,0.2361,0,0,0.0000,0,2.8
com.ichi2.anki.Manifest,1,0,0,0,2,0,0,0,1,2.0000,4,0.0000,0,0.0000,1.0000,0,0,3.0000,0,2.8
com.ichi2.utils.DiffEngine,24,0,0,7,96,260,1,6,12,0.8768,3242,0.3333,0,0.0000,0.3106,0,0,133.8333,0,2.8
com.ichi2.libanki.AnkiExporter,8,0,1,17,84,14,1,16,5,0.8571,696,0.0000,1,0.0000,0.3036,0,0,85.2500,0,2.8
com.ichi2.widget.AnkiDroidWidgetSmall,10,0,0,13,26,33,0,13,5,0.7778,91,1.0000,0,0.0000,0.2222,0,0,7.9000,0,2.8
com.ichi2.libanki.Stats,26,0,0,23,119,35,2,21,18,0.6723,4870,0.9615,2,0.0000,0.1920,0,0,185.3077,0,2.8
com.ichi2.anki.multimediacard.IMultimediaEditableNote,5,0,0,10,5,10,9,1,5,2.0000,5,0.0000,0,0.0000,0.5333,0,0,0.0000,0,2.8
com.ichi2.anki.MyAccount,17,0,0,36,65,122,0,36,2,0.8500,372,0.8000,0,0.0000,0.2101,0,0,20.2941,0,2.8
com.ichi2.libanki.importer.AnkiPackageImporter,3,0,0,11,52,1,1,10,2,0.5000,329,1.0000,0,0.0000,0.6667,0,0,108.0000,0,2.8
com.ichi2.libanki.AnkiPackageExporter,8,0,0,11,46,26,1,10,5,2.0000,262,0.0000,0,0.0000,0.3214,0,0,31.7500,0,2.8
com.ichi2.anki.dialogs.AnkiDroidCrashReportDialog,6,0,0,23,44,9,0,23,3,0.8000,174,0.2500,0,0.0000,0.5000,0,0,27.3333,0,2.8
com.ichi2.anki.api.BasicModel,2,0,0,1,3,1,1,0,0,1.0000,42,0.0000,0,0.0000,1.0000,0,0,18.0000,0,2.8
com.ichi2.anki.multimediacard.impl.MultimediaEditableNote,11,0,0,6,21,45,4,2,9,0.8000,151,0.5000,0,0.0000,0.3636,0,0,12.3636,0,2.8
com.ichi2.utils.Threads,7,0,0,5,18,21,1,4,6,2.0000,65,0.0000,0,0.0000,0.1429,0,0,8.2857,0,2.8
com.ichi2.anki.Lookup,12,0,0,15,50,44,2,13,5,0.9510,406,1.0000,0,0.0000,0.2167,0,0,31.7500,0,2.8
com.ichi2.anki.multimediacard.language.LanguageListerBase,4,0,2,3,14,0,2,1,3,0.0000,51,1.0000,0,0.0000,0.7500,0,0,11.5000,0,2.8
com.ichi2.widget.WidgetStatus,7,0,0,18,18,11,9,9,3,0.7778,84,1.0000,0,0.0000,0.3333,0,0,10.5714,0,2.8
com.ichi2.anki.stats.ChartView,7,0,0,13,24,17,1,12,6,0.8333,111,1.0000,0,0.0000,0.3469,0,0,14.4286,0,2.8
com.ichi2.anki.multimediacard.language.LanguageListerBeolingus,1,0,0,3,5,0,1,2,1,2.0000,28,0.0000,0,0.0000,1.0000,0,0,27.0000,0,2.8
com.ichi2.anki.multimediacard.fields.IControllerFactory,1,0,0,4,1,0,2,2,1,2.0000,1,0.0000,0,0.0000,1.0000,0,0,0.0000,0,2.8
com.ichi2.anki.multimediacard.impl.NoteFactory,2,0,0,5,10,1,0,5,2,2.0000,66,0.0000,0,0.0000,0.5000,0,0,32.0000,0,2.8
com.ichi2.ui.AppCompatPreferenceActivity,17,0,3,14,42,136,3,11,10,0.0625,125,1.0000,0,0.0000,0.2132,0,0,6.2941,0,2.8
com.ichi2.anki.multimediacard.fields.IField,17,0,0,19,17,136,17,2,17,2.0000,17,0.0000,0,0.0000,0.3059,0,0,0.0000,0,2.8
com.ichi2.anki.api.AddContentApi,33,0,0,23,100,360,0,23,24,0.8945,1001,0.7500,0,0.0000,0.1823,0,0,29.0909,0,2.8
com.ichi2.async.DeckTask,52,0,0,44,252,66,12,33,9,0.9833,2991,0.1500,2,0.0000,0.1863,0,0,55.7500,0,2.8
com.ichi2.anki.BuildConfig,1,0,0,0,2,0,0,0,1,2.0000,11,0.0000,0,0.0000,1.0000,0,0,3.0000,0,2.8
com.ichi2.anki.dialogs.ExportDialog,10,0,0,15,40,27,1,14,6,0.6111,186,1.0000,0,0.0000,0.2500,0,0,17.2000,0,2.8
com.ichi2.anki.dialogs.ModelBrowserContextMenu,3,0,0,10,18,1,1,9,3,1.2500,76,0.2500,0,0.0000,0.4167,0,0,23.0000,0,2.8
com.ichi2.libanki.hooks.Hook,5,0,3,8,10,4,8,0,5,0.5000,66,1.0000,0,0.0000,0.6000,0,0,12.0000,0,2.8
com.ichi2.anki.multimediacard.beolingus.parsing.BeolingusParser,4,0,0,1,13,2,1,0,3,0.6667,62,1.0000,0,0.0000,0.5000,0,0,14.0000,0,2.8
com.ichi2.anki.multimediacard.fields.BasicImageFieldController,11,0,0,30,63,35,1,29,6,0.9667,392,1.0000,0,0.0000,0.2879,0,0,33.8182,0,2.8
com.ichi2.anki.widgets.FabBehavior,7,0,0,9,20,21,0,9,6,0.8333,108,1.0000,0,0.0000,0.4762,0,0,14.2857,0,2.8
com.ichi2.libanki.DB,21,0,0,39,76,68,26,13,19,0.6000,906,1.0000,0,0.0000,0.2389,0,0,42.0000,0,2.8
com.ichi2.anki.Reviewer,27,0,0,50,168,231,1,49,7,0.8654,1383,1.0000,0,0.0000,0.1414,0,0,50.0000,0,2.8
com.ichi2.anki.multimediacard.AudioView,23,0,0,14,41,151,1,13,11,0.7727,321,0.5714,0,0.0000,0.1826,0,0,12.3478,0,2.8
com.ichi2.anki.multimediacard.language.LanguagesListerGlosbe,3,0,0,3,13,1,1,2,2,0.5000,157,1.0000,0,0.0000,0.5000,0,0,51.0000,0,2.8
com.ichi2.anki.dialogs.ImportDialog,7,0,0,21,45,19,1,20,5,1.0333,270,0.2000,0,0.0000,0.3571,0,0,36.8571,0,2.8
com.ichi2.libanki.Collection,107,0,0,85,345,4495,62,32,99,0.9256,4578,0.9630,6,0.0000,0.0963,0,0,41.5327,0,2.8
com.ichi2.compat.customtabs.ServiceConnection,3,0,0,5,8,0,1,4,3,0.0000,34,1.0000,0,0.0000,0.5833,0,0,10.0000,0,2.8
com.ichi2.anki.dialogs.SyncErrorDialog,10,0,0,21,45,45,1,20,8,1.1111,367,0.0000,0,0.0000,0.3250,0,0,34.8000,0,2.8
com.ichi2.libanki.importer.NoteImporter,3,0,1,3,4,3,1,2,3,2.0000,12,0.0000,0,0.0000,0.5556,0,0,3.0000,0,2.8
com.ichi2.anki.servicelayer.NoteService,6,0,0,15,49,15,1,14,5,2.0000,266,0.0000,0,0.0000,0.2619,0,0,43.3333,0,2.8
com.ichi2.anki.multimediacard.fields.FieldBase,3,0,3,3,4,0,3,0,1,0.0000,17,0.0000,0,0.0000,1.0000,0,0,4.3333,0,2.8
com.ichi2.anki.FlashCardsContract,2,0,0,1,4,1,0,1,0,1.6667,12,0.0000,0,0.0000,1.0000,0,0,3.5000,0,2.8
com.ichi2.anki.NavigationDrawerActivity,22,0,5,40,81,149,5,35,7,0.9451,400,0.7692,0,0.0000,0.1364,0,0,16.5909,0,2.8
com.ichi2.libanki.hooks.HintFilter,2,0,0,3,5,1,1,3,2,2.0000,13,0.0000,0,0.0000,0.7500,0,0,5.5000,0,2.8
com.ichi2.anki.stats.StatsMetaInfo,37,0,0,3,38,598,2,1,37,0.9599,209,0.0000,0,0.0000,0.2124,0,0,4.1622,0,2.8
com.ichi2.anki.DeckPicker,99,0,0,129,409,4593,5,128,51,0.9866,2978,0.7105,1,0.0000,0.0939,0,0,28.6970,0,2.8
com.ichi2.libanki.CardStats,2,0,0,6,23,1,0,6,2,2.0000,149,0.0000,0,0.0000,0.5000,0,0,73.5000,0,2.8
com.ichi2.anki.widgets.DeckAdapter,18,0,0,27,73,75,1,26,15,0.8291,675,1.0000,1,0.0000,0.1587,0,0,35.3333,0,2.8
com.ichi2.anki.dialogs.DeckPickerExportCompleteDialog,7,0,0,13,36,21,1,12,7,2.0000,135,0.0000,0,0.0000,0.4286,0,0,18.2857,0,2.8
com.ichi2.compat.customtabs.KeepAliveService,3,0,0,4,5,1,0,4,2,0.5000,14,1.0000,0,0.0000,0.7500,0,0,3.3333,0,2.8
