name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,is_Bug,version
com.ichi2.anki.dialogs.e1,2,0,0,4,4,0,1,4,2,0.0000,15,1.0000,1,0.0000,0.6250,0,0,6.0000,0,2.9
com.ichi2.anki.dialogs.e0,2,0,0,4,4,0,1,4,2,0.0000,21,1.0000,1,0.0000,0.6000,0,0,8.5000,0,2.9
com.ichi2.preferences.CustomDialogPreference,2,0,0,11,16,0,0,11,2,0.0000,96,1.0000,0,0.0000,0.6000,0,0,46.5000,0,2.9
com.ichi2.anki.dialogs.d1,2,0,0,4,4,0,1,4,2,0.0000,15,1.0000,1,0.0000,0.6250,0,0,6.0000,0,2.9
com.ichi2.anki.dialogs.d0,2,0,0,4,4,0,1,4,2,0.0000,15,1.0000,1,0.0000,0.6250,0,0,6.0000,0,2.9
com.ichi2.libanki.Exporter,2,0,1,3,3,0,2,1,2,0.0000,22,1.0000,1,0.0000,0.8333,0,0,9.0000,0,2.9
com.ichi2.anki.multimediacard.fields.FieldControllerBase,5,0,4,8,6,10,4,4,5,1.0000,28,1.0000,3,0.0000,0.3600,0,0,3.8000,0,2.9
com.ichi2.anki.multimediacard.fields.IFieldController,9,0,0,13,9,36,8,6,9,2.0000,9,0.0000,0,0.0000,0.2361,0,0,0.0000,0,2.9
com.ichi2.anki.Manifest,1,0,0,0,2,0,0,0,1,2.0000,4,0.0000,0,0.0000,1.0000,0,0,3.0000,0,2.9
com.ichi2.utils.DiffEngine,5,0,0,7,18,8,1,6,4,0.7500,164,1.0000,0,0.0000,0.6000,0,0,31.6000,0,2.9
com.ichi2.libanki.AnkiExporter,8,0,1,19,84,16,1,18,5,0.8980,779,0.4286,1,0.0000,0.3036,0,0,95.5000,0,2.9
com.ichi2.widget.AnkiDroidWidgetSmall,10,0,0,14,28,41,0,14,5,0.8889,95,1.0000,0,0.0000,0.2222,0,0,8.3000,0,2.9
com.ichi2.anki.dialogs.c0,2,0,0,4,4,0,1,4,2,0.0000,21,1.0000,1,0.0000,0.6000,0,0,8.5000,0,2.9
com.ichi2.libanki.Stats,26,0,0,24,125,75,2,22,19,0.6844,5497,0.9259,1,0.0000,0.1603,0,0,209.3846,0,2.9
com.ichi2.anki.multimediacard.IMultimediaEditableNote,4,0,0,8,4,6,7,1,4,2.0000,4,0.0000,0,0.0000,0.5833,0,0,0.0000,0,2.9
com.ichi2.anki.MyAccount,18,0,0,38,67,139,4,38,6,0.8353,386,0.8000,0,0.0000,0.2083,0,0,19.8889,0,2.9
com.ichi2.libanki.importer.AnkiPackageImporter,3,0,0,13,52,1,1,12,2,0.5000,353,1.0000,0,0.0000,0.6667,0,0,116.0000,0,2.9
com.ichi2.anki.dialogs.c1,2,0,0,4,4,0,1,4,2,0.0000,15,1.0000,1,0.0000,0.6250,0,0,6.0000,0,2.9
com.ichi2.libanki.AnkiPackageExporter,9,0,0,15,58,36,1,14,5,2.0000,355,0.0000,0,0.0000,0.3492,0,0,38.4444,0,2.9
com.ichi2.utils.a,2,0,0,5,4,0,1,5,2,0.0000,21,1.0000,0,0.0000,0.6000,0,0,8.5000,0,2.9
com.ichi2.anki.api.BasicModel,2,0,0,1,3,1,1,0,0,1.0000,42,0.0000,0,0.0000,1.0000,0,0,18.0000,0,2.9
com.ichi2.utils.FileUtil,2,0,0,5,9,1,1,4,2,2.0000,24,0.0000,0,0.0000,0.5000,0,0,11.0000,0,2.9
com.ichi2.anki.dialogs.b1,2,0,0,4,4,0,1,4,2,0.0000,15,1.0000,1,0.0000,0.6250,0,0,6.0000,0,2.9
com.ichi2.anki.dialogs.b0,2,0,0,4,4,0,1,4,2,0.0000,15,1.0000,1,0.0000,0.6250,0,0,6.0000,0,2.9
com.ichi2.anki.analytics.AnkiDroidCrashReportDialog,6,0,0,26,48,9,0,26,3,0.7333,179,1.0000,0,0.0000,0.5000,0,0,28.3333,0,2.9
com.ichi2.utils.Permissions,6,0,0,8,8,15,6,2,4,2.0000,33,0.0000,0,0.0000,0.3889,0,0,4.5000,0,2.9
com.ichi2.anki.dialogs.a1,2,0,0,4,4,0,1,4,2,0.0000,15,1.0000,1,0.0000,0.6250,0,0,6.0000,0,2.9
com.ichi2.anki.dialogs.a0,2,0,0,4,4,0,1,4,2,0.0000,15,1.0000,1,0.0000,0.6250,0,0,6.0000,0,2.9
com.ichi2.anki.multimediacard.impl.MultimediaEditableNote,10,0,0,4,18,37,2,2,8,0.8056,111,1.0000,0,0.0000,0.3750,0,0,9.7000,0,2.9
com.ichi2.utils.Threads,7,0,0,6,18,21,1,5,6,2.0000,69,0.0000,0,0.0000,0.1429,0,0,8.8571,0,2.9
com.ichi2.anki.Lookup,12,0,0,15,50,44,1,14,5,0.9510,456,1.0000,0,0.0000,0.2167,0,0,35.9167,0,2.9
com.ichi2.anki.multimediacard.language.LanguageListerBase,4,0,2,5,12,0,4,1,3,0.0000,45,1.0000,0,0.0000,0.7500,0,0,10.0000,0,2.9
com.ichi2.anki.dialogs.DeckPickerAnalyticsOptInDialog,6,0,0,22,28,15,3,22,6,2.0000,79,0.0000,0,0.0000,0.3333,0,0,12.1667,0,2.9
com.ichi2.widget.WidgetStatus,6,0,0,18,15,13,9,9,3,0.9000,60,1.0000,0,0.0000,0.4000,0,0,8.6667,0,2.9
com.ichi2.anki.stats.ChartView,7,0,0,12,22,17,1,11,6,0.8333,105,1.0000,0,0.0000,0.3469,0,0,13.5714,0,2.9
com.ichi2.anki.multimediacard.language.LanguageListerBeolingus,1,0,0,2,5,0,1,1,1,2.0000,36,0.0000,0,0.0000,1.0000,0,0,35.0000,0,2.9
com.ichi2.anki.multimediacard.fields.IControllerFactory,1,0,0,4,1,0,2,2,1,2.0000,1,0.0000,0,0.0000,1.0000,0,0,0.0000,0,2.9
com.ichi2.anki.x1,2,0,0,1,4,0,1,1,2,0.0000,13,1.0000,1,0.0000,0.7500,0,0,5.0000,0,2.9
com.ichi2.ui.AppCompatPreferenceActivity,17,0,3,14,42,136,3,11,10,0.0625,125,1.0000,0,0.0000,0.2132,0,0,6.2941,0,2.9
com.ichi2.anki.x0,2,0,0,1,4,0,1,1,2,0.0000,13,1.0000,1,0.0000,0.7500,0,0,5.0000,0,2.9
com.ichi2.anki.multimediacard.fields.IField,17,0,0,18,17,136,16,2,17,2.0000,17,0.0000,0,0.0000,0.3059,0,0,0.0000,0,2.9
com.ichi2.anki.api.AddContentApi,33,0,0,23,100,360,0,23,24,0.8945,1017,0.7500,0,0.0000,0.1823,0,0,29.5758,0,2.9
com.ichi2.anki.y0,2,0,0,1,4,0,1,1,2,0.0000,13,1.0000,1,0.0000,0.7500,0,0,5.0000,0,2.9
com.ichi2.anki.y1,2,0,0,4,4,0,1,4,2,0.0000,15,1.0000,1,0.0000,0.6250,0,0,6.0000,0,2.9
com.ichi2.anki.z0,2,0,0,1,4,0,1,1,2,0.0000,13,1.0000,1,0.0000,0.7500,0,0,5.0000,0,2.9
com.ichi2.anki.z1,2,0,0,1,4,0,1,1,2,0.0000,13,1.0000,1,0.0000,0.7500,0,0,5.0000,0,2.9
com.ichi2.async.DeckTask,56,0,0,48,279,68,12,37,10,0.9856,3815,0.1395,2,0.0000,0.1702,0,0,66.3571,0,2.9
com.ichi2.anki.BuildConfig,1,0,0,0,2,0,0,0,1,2.0000,11,0.0000,0,0.0000,1.0000,0,0,3.0000,0,2.9
com.ichi2.anki.dialogs.j,2,0,0,4,4,0,1,4,2,0.0000,15,1.0000,1,0.0000,0.6250,0,0,6.0000,0,2.9
com.ichi2.anki.dialogs.k,2,0,0,4,4,0,1,4,2,0.0000,17,1.0000,1,0.0000,0.5833,0,0,7.0000,0,2.9
com.ichi2.anki.dialogs.l,2,0,0,4,4,0,1,4,2,0.0000,15,1.0000,1,0.0000,0.6250,0,0,6.0000,0,2.9
com.ichi2.anki.dialogs.m,2,0,0,4,4,0,1,4,2,0.0000,15,1.0000,1,0.0000,0.6250,0,0,6.0000,0,2.9
com.ichi2.anki.dialogs.n,2,0,0,4,4,0,1,4,2,0.0000,15,1.0000,1,0.0000,0.6250,0,0,6.0000,0,2.9
com.ichi2.anki.dialogs.o,2,0,0,4,4,0,1,4,2,0.0000,15,1.0000,1,0.0000,0.6250,0,0,6.0000,0,2.9
com.ichi2.anki.dialogs.p,2,0,0,4,4,0,1,4,2,0.0000,15,1.0000,1,0.0000,0.6250,0,0,6.0000,0,2.9
com.ichi2.anki.dialogs.q,2,0,0,4,4,0,1,4,2,0.0000,15,1.0000,1,0.0000,0.6250,0,0,6.0000,0,2.9
com.ichi2.anki.dialogs.b,2,0,0,3,4,0,1,3,2,0.0000,15,1.0000,1,0.0000,0.6250,0,0,6.0000,0,2.9
com.ichi2.anki.dialogs.c,2,0,0,4,4,0,1,4,2,0.0000,21,1.0000,1,0.0000,0.6000,0,0,8.5000,0,2.9
com.ichi2.anki.dialogs.ExportDialog,10,0,0,17,40,27,1,16,6,0.6111,186,1.0000,0,0.0000,0.2500,0,0,17.2000,0,2.9
com.ichi2.anki.dialogs.ModelBrowserContextMenu,3,0,0,12,18,1,1,11,3,1.2500,76,0.2500,0,0.0000,0.4167,0,0,23.0000,0,2.9
com.ichi2.anki.dialogs.d,2,0,0,2,4,0,1,2,2,0.0000,14,1.0000,1,0.0000,0.6667,0,0,5.5000,0,2.9
com.ichi2.anki.dialogs.e,2,0,0,4,4,0,1,4,2,0.0000,15,1.0000,1,0.0000,0.6250,0,0,6.0000,0,2.9
com.ichi2.anki.dialogs.f,2,0,0,4,4,0,1,4,2,0.0000,15,1.0000,1,0.0000,0.6250,0,0,6.0000,0,2.9
com.ichi2.anki.dialogs.g,2,0,0,5,4,0,1,5,2,0.0000,39,1.0000,1,0.0000,0.5625,0,0,16.0000,0,2.9
com.ichi2.anki.dialogs.h,2,0,0,4,4,0,1,4,2,0.0000,15,1.0000,1,0.0000,0.6250,0,0,6.0000,0,2.9
com.ichi2.anki.dialogs.i,2,0,0,4,4,0,1,4,2,0.0000,15,1.0000,1,0.0000,0.6250,0,0,6.0000,0,2.9
com.ichi2.libanki.hooks.Hook,5,0,3,8,10,4,8,0,5,0.5000,70,1.0000,0,0.0000,0.6000,0,0,12.8000,0,2.9
com.ichi2.anki.multimediacard.beolingus.parsing.BeolingusParser,4,0,0,2,15,2,1,1,3,0.6667,104,1.0000,0,0.0000,0.5000,0,0,24.5000,0,2.9
com.ichi2.anki.dialogs.z,2,0,0,4,4,0,1,4,2,0.0000,15,1.0000,1,0.0000,0.6250,0,0,6.0000,0,2.9
com.ichi2.utils.FunctionalInterfaces,1,0,0,0,2,0,0,0,1,2.0000,4,0.0000,0,0.0000,1.0000,0,0,3.0000,0,2.9
com.ichi2.anki.multimediacard.fields.BasicImageFieldController,16,0,0,44,105,88,3,43,9,0.8667,676,1.0000,0,0.0000,0.2344,0,0,40.7500,0,2.9
com.ichi2.anki.t0,2,0,0,1,4,0,1,1,2,0.0000,13,1.0000,1,0.0000,0.7500,0,0,5.0000,0,2.9
com.ichi2.anki.t1,2,0,0,3,4,0,1,3,2,0.0000,14,1.0000,1,0.0000,0.6667,0,0,5.5000,0,2.9
com.ichi2.anki.dialogs.r,2,0,0,4,4,0,1,4,2,0.0000,17,1.0000,1,0.0000,0.5833,0,0,7.0000,0,2.9
com.ichi2.anki.dialogs.s,2,0,0,4,4,0,1,4,2,0.0000,15,1.0000,1,0.0000,0.6250,0,0,6.0000,0,2.9
