name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,is_Bug,version
com.ichi2.anki.dialogs.e2,2,0,0,3,4,0,1,3,2,0.0000,15,0.0000,1,0.0000,0.6250,0,0,6.0000,0,2.14
com.ichi2.anki.dialogs.e1,2,0,0,4,4,0,1,4,2,0.0000,21,0.0000,1,0.0000,0.6000,0,0,8.5000,0,2.14
com.ichi2.anki.dialogs.e0,2,0,0,3,4,0,1,3,2,0.0000,14,0.0000,1,0.0000,0.6667,0,0,5.5000,0,2.14
com.ichi2.preferences.CustomDialogPreference,2,0,0,11,16,0,0,11,2,0.0000,96,1.0000,0,0.0000,0.6000,0,0,46.5000,0,2.14
com.ichi2.libanki.exception.EmptyMediaException,1,0,0,3,2,0,3,0,1,2.0000,4,0.0000,0,0.0000,1.0000,0,0,3.0000,0,2.14
com.ichi2.libanki.sched.LrnCard,4,0,0,4,5,0,2,2,4,0.0000,27,1.0000,0,0.0000,0.4000,0,0,5.5000,0,2.14
com.ichi2.libanki.Undoable,5,0,0,7,10,4,2,6,5,0.5000,30,1.0000,0,0.0000,0.3600,0,0,4.8000,0,2.14
com.ichi2.anki.dialogs.d1,2,0,0,3,4,0,1,3,2,0.0000,15,0.0000,1,0.0000,0.6250,0,0,6.0000,0,2.14
com.ichi2.anki.dialogs.d0,2,0,0,4,4,0,1,4,2,0.0000,15,0.0000,1,0.0000,0.6250,0,0,6.0000,0,2.14
com.ichi2.anki.web.CustomSyncServer,6,0,0,8,12,15,3,5,6,1.2000,39,0.0000,0,0.0000,0.2917,0,0,5.0000,0,2.14
com.ichi2.libanki.Exporter,3,0,1,6,10,0,2,4,3,0.3333,52,1.0000,1,0.0000,0.6667,0,0,15.3333,0,2.14
com.ichi2.anki.multimediacard.fields.FieldControllerBase,7,0,4,9,8,21,4,5,7,1.0000,33,1.0000,3,0.0000,0.2857,0,0,3.1429,0,2.14
com.ichi2.anki.multimediacard.fields.IFieldController,11,0,0,14,11,55,8,7,11,2.0000,11,0.0000,0,0.0000,0.2020,0,0,0.0000,0,2.14
com.ichi2.utils.DiffEngine,5,0,0,6,17,8,1,5,4,0.7500,161,1.0000,0,0.0000,0.6000,0,0,31.0000,1,2.14
com.ichi2.anki.dialogs.d2,3,0,0,3,5,3,1,3,1,1.0000,20,0.0000,1,0.0000,0.6250,0,0,5.3333,0,2.14
com.ichi2.libanki.AnkiExporter,8,0,1,22,86,16,1,21,5,0.8810,750,0.5000,1,0.0000,0.3036,0,0,92.0000,0,2.14
com.ichi2.widget.AnkiDroidWidgetSmall,12,0,0,17,40,62,0,17,5,0.9091,302,1.0000,0,0.0000,0.2020,0,0,24.0000,0,2.14
com.ichi2.anki.dialogs.c0,2,0,0,4,4,0,1,4,2,0.0000,15,0.0000,1,0.0000,0.6250,0,0,6.0000,0,2.14
com.ichi2.libanki.sched.SimpleCardQueue,2,0,0,6,6,1,2,4,2,2.0000,15,0.0000,0,0.0000,0.6667,0,0,6.5000,0,2.14
com.ichi2.anki.multimediacard.IMultimediaEditableNote,4,0,0,8,4,6,7,1,4,2.0000,4,0.0000,0,0.0000,0.5833,0,0,0.0000,0,2.14
com.ichi2.anki.dialogs.RescheduleDialog,4,0,0,6,20,6,2,4,2,2.0000,113,0.0000,0,0.0000,0.4500,0,0,27.2500,0,2.14
com.ichi2.anki.MyAccount,21,0,0,49,79,188,6,49,9,0.8227,505,0.8182,1,0.0000,0.1810,0,0,22.5238,1,2.14
com.ichi2.libanki.sync.CustomSyncServerUrlException,4,0,0,1,8,4,1,0,3,0.6667,34,1.0000,0,0.0000,0.5000,0,0,7.2500,0,2.14
com.ichi2.anki.reviewer.PeripheralKeymap,4,0,0,7,15,0,1,6,4,0.4167,83,1.0000,1,0.0000,0.5000,0,0,18.7500,1,2.14
com.ichi2.libanki.importer.AnkiPackageImporter,3,0,0,16,61,1,1,15,2,0.5000,589,1.0000,0,0.0000,0.6667,0,0,194.6667,0,2.14
com.ichi2.anki.dialogs.c2,2,0,0,3,4,0,1,3,2,0.0000,14,0.0000,1,0.0000,0.6667,0,0,5.5000,0,2.14
com.ichi2.anki.dialogs.c1,2,0,0,4,4,0,1,4,2,0.0000,15,0.0000,1,0.0000,0.6250,0,0,6.0000,0,2.14
com.ichi2.libanki.AnkiPackageExporter,12,0,0,16,63,66,1,15,6,2.0000,360,0.0000,0,0.0000,0.2583,0,0,29.0000,0,2.14
com.ichi2.utils.a,2,0,0,1,4,0,1,1,2,0.0000,13,0.0000,1,0.0000,0.7500,0,0,5.0000,0,2.14
com.ichi2.utils.b,3,0,0,2,5,3,0,2,1,1.0000,15,0.0000,1,0.0000,0.7500,0,0,3.6667,0,2.14
com.ichi2.utils.c,2,0,0,5,4,0,0,5,2,0.0000,21,0.0000,0,0.0000,0.6000,0,0,8.5000,0,2.14
com.ichi2.utils.d,2,0,0,1,4,0,1,1,2,0.0000,13,0.0000,1,0.0000,0.7500,0,0,5.0000,0,2.14
com.ichi2.utils.e,2,0,0,1,4,0,1,1,2,0.0000,13,0.0000,1,0.0000,0.7500,0,0,5.0000,0,2.14
com.ichi2.utils.f,2,0,0,1,4,0,1,1,2,0.0000,13,0.0000,1,0.0000,0.7500,0,0,5.0000,0,2.14
com.ichi2.anki.api.BasicModel,2,0,0,1,3,1,1,0,0,1.0000,42,0.0000,0,0.0000,1.0000,0,0,18.0000,0,2.14
com.ichi2.utils.FileUtil,4,0,0,10,22,6,4,6,4,2.0000,124,0.0000,0,0.0000,0.3333,0,0,30.0000,0,2.14
com.ichi2.anki.dialogs.b2,2,0,0,4,4,0,1,4,2,0.0000,15,0.0000,1,0.0000,0.6250,0,0,6.0000,0,2.14
com.ichi2.anki.dialogs.b1,2,0,0,4,4,0,1,4,2,0.0000,15,0.0000,1,0.0000,0.6250,0,0,6.0000,0,2.14
com.ichi2.anki.dialogs.b0,2,0,0,4,4,0,1,4,2,0.0000,15,0.0000,1,0.0000,0.6250,0,0,6.0000,0,2.14
com.ichi2.anki.analytics.AnkiDroidCrashReportDialog,6,0,0,27,50,7,0,27,3,0.7500,191,1.0000,0,0.0000,0.5000,0,0,30.1667,0,2.14
com.ichi2.utils.Permissions,6,0,0,11,8,15,9,2,4,2.0000,33,0.0000,0,0.0000,0.3889,0,0,4.5000,0,2.14
com.ichi2.anki.cardviewer.ViewerCommand,1,0,0,0,2,0,0,0,1,2.0000,38,0.0000,0,0.0000,1.0000,0,0,3.0000,0,2.14
com.ichi2.anki.dialogs.a2,2,0,0,4,4,0,1,4,2,0.0000,15,0.0000,1,0.0000,0.6250,0,0,6.0000,0,2.14
com.ichi2.anki.dialogs.a1,2,0,0,4,4,0,1,4,2,0.0000,23,0.0000,1,0.0000,0.5714,0,0,9.5000,0,2.14
com.ichi2.anki.dialogs.a0,2,0,0,4,4,0,1,4,2,0.0000,23,0.0000,1,0.0000,0.5714,0,0,9.5000,0,2.14
com.ichi2.anki.web.PreferenceBackedHostNum,8,0,0,5,21,22,1,4,5,0.4286,101,1.0000,0,0.0000,0.3750,0,0,11.5000,0,2.14
com.ichi2.anki.multimediacard.impl.MultimediaEditableNote,10,0,0,4,18,37,2,2,8,0.8056,111,1.0000,0,0.0000,0.3750,0,0,9.7000,0,2.14
